employee_id,full_name,department,gender,age,education_level,job_level,years_at_company,monthly_salary,performance_score,job_satisfaction,promotions,training_hours,left_company,attrition_reason,hire_date,age_group,salary_band,tenure_group,perf_band
EMP0001,Employee_1,Hr,Female,40,Hnd,Mid-Level,2,454011,4.7,Medium,1,38,No,,2006-01-05,40-49,Executive (450k+),0-2 Years,Outstanding
EMP0002,Employee_2,Sales,Male,46,Ond,Manager,10,313366,2.3,Medium,2,24,No,,2023-12-05,40-49,Senior (300k-450k),6-10 Years,Poor
EMP0003,Employee_3,Sales,Male,23,Msc,Junior,3,126027,3.1,Medium,4,39,Yes,Career Growth,2008-09-28,20-29,Entry (<150k),3-5 Years,Average
EMP0004,Employee_4,Hr,Female,58,Bsc,Manager,17,504942,3.5,Low,3,25,No,,2016-02-12,50+,Executive (450k+),10+ Years,Good
EMP0005,Employee_5,Network Operations,Male,46,Bsc,Manager,12,437527,4.4,High,3,37,No,,2017-10-04,40-49,Senior (300k-450k),10+ Years,Good
EMP0006,Employee_6,Customer Service,Male,52,High School,Senior,9,12000,3.4,High,1,22,Yes,Career Growth,2015-05-11,50+,Entry (<150k),6-10 Years,Average
EMP0007,Employee_7,Customer Service,Male,22,Bsc,Junior,8,247556,3.0,High,5,22,No,,2009-03-24,20-29,Mid (150k-300k),6-10 Years,Average
EMP0008,Employee_8,Customer Service,Female,44,Hnd,Senior,4,430140,3.1,Low,4,22,Yes,Low Salary,2018-11-16,40-49,Senior (300k-450k),3-5 Years,Average
EMP0009,Employee_9,Hr,Female,41,Bsc,Mid-Level,10,262150,3.0,High,5,29,Yes,Work-Life Balance,2015-03-23,40-49,Mid (150k-300k),6-10 Years,Average
EMP0010,Employee_10,Customer Service,Female,46,Hnd,Manager,2,452003,3.3,High,3,39,No,,2022-12-20,40-49,Executive (450k+),0-2 Years,Average
EMP0011,Employee_11,Hr,Female,48,Hnd,Manager,18,114046,2.9,Medium,0,11,No,,2016-04-22,40-49,Entry (<150k),10+ Years,Average
EMP0012,Employee_12,Hr,Female,56,High School,Mid-Level,4,368356,1.1,High,4,19,No,,2023-03-13,50+,Senior (300k-450k),3-5 Years,Poor
EMP0013,Employee_13,Finance,Male,56,Ond,Senior,11,364253,2.3,Medium,2,39,Yes,Better Offer,2014-12-23,50+,Senior (300k-450k),10+ Years,Poor
EMP0014,Employee_14,Sales,Male,36,Hnd,Junior,9,232233,1.4,Low,1,37,No,,2014-03-06,30-39,Mid (150k-300k),6-10 Years,Poor
EMP0015,Employee_15,Finance,Male,53,Bsc,Senior,12,547314,2.7,Medium,5,5,No,,2005-12-19,50+,Executive (450k+),10+ Years,Average
EMP0016,Employee_16,It,Female,36,Bsc,Senior,4,237263,3.1,High,0,8,No,,2017-10-02,30-39,Mid (150k-300k),3-5 Years,Average
EMP0017,Employee_17,Sales,Female,39,Hnd,Junior,2,526358,4.6,High,0,20,No,,2010-10-11,30-39,Executive (450k+),0-2 Years,Outstanding
EMP0018,Employee_18,Sales,Male,49,Bsc,Manager,9,162578,4.5,Medium,2,7,No,,2012-11-19,40-49,Mid (150k-300k),6-10 Years,Outstanding
EMP0019,Employee_19,Sales,Male,53,Msc,Senior,17,453192,3.5,High,1,15,No,,2008-08-05,50+,Executive (450k+),10+ Years,Good
EMP0020,Employee_20,Customer Service,Male,23,High School,Mid-Level,12,452015,3.4,Medium,3,19,Yes,Career Growth,2015-12-03,20-29,Executive (450k+),10+ Years,Average
EMP0021,Employee_21,Customer Service,Male,46,Bsc,Junior,10,447116,2.1,High,5,7,Yes,Relocation,2012-06-11,40-49,Senior (300k-450k),6-10 Years,Poor
EMP0022,Employee_22,Finance,Female,43,High School,Manager,4,414338,3.6,Medium,5,11,Yes,Better Offer,2010-11-03,40-49,Senior (300k-450k),3-5 Years,Good
EMP0023,Employee_23,Finance,Male,47,Hnd,Junior,16,171273,4.9,Medium,1,23,No,,2015-08-01,40-49,Mid (150k-300k),10+ Years,Outstanding
EMP0024,Employee_24,Sales,Female,32,Hnd,Mid-Level,2,496125,3.3,Low,5,9,No,,2013-04-08,30-39,Executive (450k+),0-2 Years,Average
EMP0025,Employee_25,Finance,Male,51,Hnd,Junior,13,269526,1.9,Medium,3,32,Yes,Career Growth,2007-06-09,50+,Mid (150k-300k),10+ Years,Poor
EMP0026,Employee_26,Customer Service,Female,30,High School,Junior,16,346734,1.2,Medium,2,24,No,,2008-12-01,30-39,Senior (300k-450k),10+ Years,Poor
EMP0027,Employee_27,Hr,Female,56,Bsc,Senior,11,197567,2.9,Low,2,26,No,,2006-07-15,50+,Mid (150k-300k),10+ Years,Average
EMP0028,Employee_28,Hr,Male,23,Msc,Mid-Level,0,143628,3.1,High,0,22,No,,2018-03-14,20-29,Entry (<150k),0-2 Years,Average
EMP0029,Employee_29,Hr,Male,47,High School,Mid-Level,11,185371,3.9,Medium,0,8,No,,2020-07-12,40-49,Mid (150k-300k),10+ Years,Good
EMP0030,Employee_30,Finance,Female,58,Msc,Mid-Level,9,495270,4.1,Low,0,36,No,,2022-07-04,50+,Executive (450k+),6-10 Years,Good
EMP0031,Employee_31,It,Male,23,Bsc,Junior,5,152811,2.5,High,2,24,No,,2020-10-21,20-29,Mid (150k-300k),3-5 Years,Average
EMP0032,Employee_32,Customer Service,Male,27,Bsc,Mid-Level,6,204117,4.3,Medium,3,27,No,,2012-03-15,20-29,Mid (150k-300k),6-10 Years,Good
EMP0033,Employee_33,It,Male,49,High School,Mid-Level,10,494383,2.0,High,2,11,No,,2007-01-10,40-49,Executive (450k+),6-10 Years,Poor
EMP0034,Employee_34,Finance,Male,30,Ond,Mid-Level,15,339009,3.3,Low,2,31,Yes,Work-Life Balance,2005-06-09,30-39,Senior (300k-450k),10+ Years,Average
EMP0035,Employee_35,Network Operations,Male,51,Msc,Senior,6,93780,3.8,Medium,0,40,Yes,Personal,2008-02-11,50+,Entry (<150k),6-10 Years,Good
EMP0036,Employee_36,Marketing,Male,33,Hnd,Mid-Level,7,269213,1.8,Low,1,34,No,,2010-07-06,30-39,Mid (150k-300k),6-10 Years,Poor
EMP0037,Employee_37,Marketing,Female,25,Msc,Junior,4,370466,2.8,High,0,11,Yes,Career Growth,2007-09-03,20-29,Senior (300k-450k),3-5 Years,Average
EMP0038,Employee_38,Sales,Female,38,Bsc,Senior,4,380038,2.7,Medium,1,35,No,,2015-10-20,30-39,Senior (300k-450k),3-5 Years,Average
EMP0039,Employee_39,Marketing,Female,46,Bsc,Mid-Level,2,273415,2.7,Medium,3,10,Yes,Work-Life Balance,2020-12-01,40-49,Mid (150k-300k),0-2 Years,Average
EMP0040,Employee_40,Marketing,Male,42,High School,Mid-Level,9,325055,1.8,High,3,31,No,,2018-11-06,40-49,Senior (300k-450k),6-10 Years,Poor
EMP0041,Employee_41,Customer Service,Female,35,Ond,Senior,3,501350,3.0,High,4,18,No,,2018-03-02,30-39,Executive (450k+),3-5 Years,Average
EMP0042,Employee_42,Hr,Male,51,Hnd,Mid-Level,16,369221,3.4,Low,4,8,Yes,Career Growth,2008-06-07,50+,Senior (300k-450k),10+ Years,Average
EMP0043,Employee_43,It,Male,42,Msc,Junior,17,148037,2.9,Medium,4,11,Yes,Personal,2011-07-23,40-49,Entry (<150k),10+ Years,Average
EMP0044,Employee_44,Network Operations,Female,43,Ond,Junior,16,400837,4.4,Low,3,20,Yes,Low Salary,2022-12-24,40-49,Senior (300k-450k),10+ Years,Good
EMP0045,Employee_45,Network Operations,Male,46,Hnd,Mid-Level,1,543599,3.1,Medium,0,28,Yes,Relocation,2022-05-22,40-49,Executive (450k+),0-2 Years,Average
EMP0046,Employee_46,Customer Service,Female,39,Bsc,Junior,10,125201,3.8,Low,0,39,No,,2014-05-08,30-39,Entry (<150k),6-10 Years,Good
EMP0047,Employee_47,Customer Service,Female,48,Bsc,Senior,4,114470,3.1,Medium,0,3,No,,2008-01-13,40-49,Entry (<150k),3-5 Years,Average
EMP0048,Employee_48,Marketing,Female,38,High School,Mid-Level,12,8000,3.1,High,2,22,No,,2023-09-27,30-39,Entry (<150k),10+ Years,Average
EMP0049,Employee_49,Network Operations,Female,27,High School,Senior,4,288750,5.0,Low,4,0,No,,2020-03-02,20-29,Mid (150k-300k),3-5 Years,Outstanding
EMP0050,Employee_50,Sales,Female,52,Msc,Junior,5,455879,2.9,Medium,0,31,Yes,Career Growth,2016-01-14,50+,Executive (450k+),3-5 Years,Average
EMP0051,Employee_51,Sales,Female,23,Ond,Mid-Level,5,456894,2.5,Medium,4,8,No,,2007-05-27,20-29,Executive (450k+),3-5 Years,Average
EMP0052,Employee_52,It,Male,56,Ond,Senior,5,330958,4.8,Low,4,12,No,,2020-04-04,50+,Senior (300k-450k),3-5 Years,Outstanding
EMP0053,Employee_53,Sales,Male,25,Hnd,Junior,14,355615,2.8,High,2,24,No,,2005-04-06,20-29,Senior (300k-450k),10+ Years,Average
EMP0054,Employee_54,Network Operations,Female,44,Msc,Mid-Level,1,295374,3.1,High,3,35,No,,2014-02-16,40-49,Mid (150k-300k),0-2 Years,Average
EMP0055,Employee_55,Marketing,Male,36,High School,Manager,13,483263,3.2,Low,0,32,Yes,Low Salary,2008-05-26,30-39,Executive (450k+),10+ Years,Average
EMP0056,Employee_56,Network Operations,Male,26,Msc,Junior,11,294661,3.1,Low,2,31,No,,2017-08-16,20-29,Mid (150k-300k),10+ Years,Average
EMP0057,Employee_57,Finance,Male,24,Bsc,Junior,7,511666,4.5,Medium,3,26,No,,2013-02-21,20-29,Executive (450k+),6-10 Years,Outstanding
EMP0058,Employee_58,Customer Service,Female,23,High School,Manager,14,381413,3.7,Medium,3,31,No,,2022-07-06,20-29,Senior (300k-450k),10+ Years,Good
EMP0059,Employee_59,Marketing,Male,37,Ond,Manager,9,118666,4.2,High,0,26,No,,2016-07-12,30-39,Entry (<150k),6-10 Years,Good
EMP0060,Employee_60,Sales,Male,34,High School,Senior,14,145707,2.1,High,5,28,Yes,Relocation,2010-08-02,30-39,Entry (<150k),10+ Years,Poor
EMP0061,Employee_61,Hr,Female,23,Bsc,Junior,7,246213,2.9,High,4,31,No,,2013-08-15,20-29,Mid (150k-300k),6-10 Years,Average
EMP0062,Employee_62,It,Male,31,High School,Manager,17,416770,4.8,Low,1,10,No,,2013-04-27,30-39,Senior (300k-450k),10+ Years,Outstanding
EMP0063,Employee_63,Finance,Male,37,Ond,Mid-Level,7,118883,2.1,Low,4,5,No,,2013-10-02,30-39,Entry (<150k),6-10 Years,Poor
EMP0064,Employee_64,Sales,Male,30,Bsc,Junior,9,315916,2.2,Low,4,36,No,,2009-12-22,30-39,Senior (300k-450k),6-10 Years,Poor
EMP0065,Employee_65,It,Male,52,Hnd,Senior,15,324230,4.8,High,1,1,Yes,Personal,2008-02-22,50+,Senior (300k-450k),10+ Years,Outstanding
EMP0066,Employee_66,Sales,Male,29,Msc,Manager,6,436572,4.9,High,5,14,No,,2016-09-14,20-29,Senior (300k-450k),6-10 Years,Outstanding
EMP0067,Employee_67,Finance,Male,58,Hnd,Junior,11,351245,4.1,High,3,18,Yes,Low Salary,2023-04-18,50+,Senior (300k-450k),10+ Years,Good
EMP0068,Employee_68,Network Operations,Male,35,Bsc,Junior,18,260624,3.8,High,1,22,Yes,Better Offer,2006-07-27,30-39,Mid (150k-300k),10+ Years,Good
EMP0069,Employee_69,Marketing,Female,51,Bsc,Manager,14,147284,3.8,Low,1,17,No,,2021-07-18,50+,Entry (<150k),10+ Years,Good
EMP0070,Employee_70,Hr,Male,38,Bsc,Manager,14,540303,3.0,Medium,2,14,No,,2020-10-08,30-39,Executive (450k+),10+ Years,Average
EMP0071,Employee_71,Finance,Male,45,Ond,Manager,9,514662,2.9,High,2,34,No,,2020-05-03,40-49,Executive (450k+),6-10 Years,Average
EMP0072,Employee_72,Marketing,Male,32,Bsc,Junior,12,489082,3.2,Medium,2,18,Yes,Work-Life Balance,2017-12-02,30-39,Executive (450k+),10+ Years,Average
EMP0073,Employee_73,Network Operations,Male,29,Msc,Manager,16,369041,4.7,Medium,3,10,No,,2021-10-17,20-29,Senior (300k-450k),10+ Years,Outstanding
EMP0074,Employee_74,Finance,Female,32,Ond,Manager,16,415436,3.9,Low,1,29,Yes,Relocation,2023-11-20,30-39,Senior (300k-450k),10+ Years,Good
EMP0075,Employee_75,Customer Service,Female,41,Bsc,Junior,13,388169,2.2,Low,0,36,No,,2009-02-25,40-49,Senior (300k-450k),10+ Years,Poor
EMP0076,Employee_76,Hr,Female,28,Ond,Junior,5,175401,3.3,Low,1,31,Yes,Career Growth,2019-03-06,20-29,Mid (150k-300k),3-5 Years,Average
EMP0077,Employee_77,Sales,Male,23,Msc,Senior,6,482538,3.2,High,3,35,Yes,Career Growth,2011-04-05,20-29,Executive (450k+),6-10 Years,Average
EMP0078,Employee_78,Sales,Male,41,Msc,Mid-Level,4,147650,4.6,Low,2,32,No,,2006-07-03,40-49,Entry (<150k),3-5 Years,Outstanding
EMP0079,Employee_79,Customer Service,Male,58,Ond,Junior,8,306816,2.6,High,3,7,No,,2018-04-27,50+,Senior (300k-450k),6-10 Years,Average
EMP0080,Employee_80,Customer Service,Female,46,High School,Mid-Level,1,343645,3.1,Medium,2,36,Yes,Poor Management,2009-10-09,40-49,Senior (300k-450k),0-2 Years,Average
EMP0081,Employee_81,Marketing,Female,47,Hnd,Senior,15,535192,4.1,Low,3,7,No,,2015-12-26,40-49,Executive (450k+),10+ Years,Good
EMP0082,Employee_82,Network Operations,Male,34,Bsc,Senior,11,109052,1.6,High,0,17,Yes,Career Growth,2007-02-13,30-39,Entry (<150k),10+ Years,Poor
EMP0083,Employee_83,Sales,Female,26,Hnd,Manager,17,515888,1.2,High,2,34,No,,2022-07-18,20-29,Executive (450k+),10+ Years,Poor
EMP0084,Employee_84,Marketing,Female,37,Msc,Senior,3,145096,4.8,High,2,22,No,,2015-05-17,30-39,Entry (<150k),3-5 Years,Outstanding
EMP0085,Employee_85,Customer Service,Female,28,Hnd,Manager,16,351634,1.3,Low,1,34,No,,2019-01-26,20-29,Senior (300k-450k),10+ Years,Poor
EMP0086,Employee_86,Marketing,Male,41,High School,Manager,3,160224,4.7,Medium,5,2,Yes,Work-Life Balance,2023-09-26,40-49,Mid (150k-300k),3-5 Years,Outstanding
EMP0087,Employee_87,Sales,Male,29,Hnd,Junior,9,239448,3.6,High,5,28,Yes,Work-Life Balance,2018-02-14,20-29,Mid (150k-300k),6-10 Years,Good
EMP0088,Employee_88,It,Female,58,Hnd,Junior,2,166327,3.1,High,3,34,No,,2009-03-19,50+,Mid (150k-300k),0-2 Years,Average
EMP0089,Employee_89,Network Operations,Male,24,Msc,Mid-Level,5,164917,1.9,Medium,4,13,No,,2023-10-25,20-29,Mid (150k-300k),3-5 Years,Poor
EMP0090,Employee_90,It,Male,44,Msc,Manager,8,249167,4.3,Medium,4,27,No,,2008-02-19,40-49,Mid (150k-300k),6-10 Years,Good
EMP0091,Employee_91,Hr,Male,56,Bsc,Manager,14,451894,2.1,Medium,1,22,No,,2008-05-28,50+,Executive (450k+),10+ Years,Poor
EMP0092,Employee_92,Marketing,Female,49,Ond,Mid-Level,16,198211,3.2,Medium,3,15,Yes,Career Growth,2022-06-14,40-49,Mid (150k-300k),10+ Years,Average
EMP0093,Employee_93,Network Operations,Male,45,Bsc,Manager,4,261415,2.1,High,0,22,No,,2013-07-21,40-49,Mid (150k-300k),3-5 Years,Poor
EMP0094,Employee_94,Customer Service,Female,26,Msc,Senior,13,352051,1.4,High,1,22,Yes,Relocation,2020-10-20,20-29,Senior (300k-450k),10+ Years,Poor
EMP0095,Employee_95,Network Operations,Male,54,Bsc,Manager,2,549198,4.0,Medium,2,28,Yes,Personal,2020-01-06,50+,Executive (450k+),0-2 Years,Good
EMP0096,Employee_96,Network Operations,Male,43,Hnd,Manager,7,228923,2.0,Medium,0,16,No,,2013-07-05,40-49,Mid (150k-300k),6-10 Years,Poor
EMP0097,Employee_97,Customer Service,Female,22,Hnd,Manager,14,523512,1.2,High,3,22,Yes,Low Salary,2017-01-13,20-29,Executive (450k+),10+ Years,Poor
