employee_id,full_name,department,gender,age,education_level,job_level,years_at_company,monthly_salary,performance_score,job_satisfaction,promotions,training_hours,left_company,attrition_reason,hire_date
EMP0001,Employee_1,HR,Female,17,HND,Mid-Level,2,454011,4.7,Medium,1,38.0,No,,2006-01-05
EMP0002,Employee_2,Sales,Male,46,OND,Manager,10,313366,2.3,Medium,2,24.0,No,,2023-12-05
EMP0003,Employee_3,Sales,,23,MSc,Junior,3,126027,,Medium,4,39.0,Yes,Career Growth,2008-09-28
EMP0004,Employee_4,HR,Female,58,BSc,Manager,17,504942,3.5,Low,3,25.0,No,,2016-02-12
EMP0005,Employee_5,Network Operations,Male,46,BSc,Manager,12,437527,4.4,High,3,37.0,No,,2017-10-04
EMP0006,Employee_6,,Male,52,High School,Senior,9,12000,3.4,High,1,,Yes,Career Growth,2015-05-11
EMP0007,Employee_7,Customer Service,Male,22,BSc,Junior,8,247556,3.0,High,5,22.0,No,,2009-03-24
EMP0008,Employee_8,Customer Service,Female,44,HND,Senior,4,430140,,Low,4,22.0,Yes,Low Salary,2018-11-16
EMP0009,Employee_9,HR,Female,41,BSc,Mid-Level,10,262150,3.0,,5,29.0,Yes,Work-Life Balance,2015-03-23
EMP0010,Employee_10,,female,46,HND,Manager,2,452003,3.3,High,3,39.0,No,,2022-12-20
EMP0011,Employee_11,HR,Female,48,HND,Manager,18,114046,2.9,Medium,0,11.0,No,,2016-04-22
EMP0012,Employee_12,HR,Female,56,High School,Mid-Level,4,368356,1.1,High,4,19.0,No,,2023-03-13
EMP0013,Employee_13,Finance,Male,56,OND,Senior,11,364253,2.3,Medium,2,39.0,Yes,Better Offer,2014-12-23
EMP0014,Employee_14,Sales,Male,36,HND,Junior,9,232233,1.4,Low,1,37.0,No,,2014-03-06
EMP0015,Employee_15,Finance,Male,53,BSc,Senior,12,547314,2.7,Medium,5,5.0,No,,2005-12-19
EMP0016,Employee_16,IT,female,36,BSc,Senior,4,237263,,High,0,8.0,No,,2017-10-02
EMP0017,Employee_17,Sales,Female,39,HND,Junior,2,526358,4.6,High,0,20.0,No,,2010-10-11
EMP0018,Employee_18,Sales,Male,49,BSc,Manager,9,162578,4.5,Medium,2,7.0,No,,2012-11-19
EMP0019,Employee_19,Sales,Male,53,MSc,Senior,17,453192,3.5,High,1,15.0,No,,2008-08-05
EMP0020,Employee_20,Customer Service,Male,23,High School,Mid-Level,12,452015,3.4,Medium,3,19.0,Yes,Career Growth,2015-12-03
EMP0021,Employee_21,Customer Service,Male,46,BSc,Junior,10,447116,2.1,High,5,7.0,Yes,Relocation,2012-06-11
EMP0022,Employee_22,Finance,Female,43,High School,Manager,4,414338,3.6,Medium,5,11.0,Yes,Better Offer,2010-11-03
EMP0023,Employee_23,Finance,Male,47,HND,Junior,16,171273,4.9,Medium,1,23.0,No,,2015-08-01
EMP0024,Employee_24,Sales,Female,32,HND,Mid-Level,2,496125,3.3,Low,5,9.0,No,,2013-04-08
EMP0025,Employee_25,Finance,Male,51,HND,Junior,13,269526,1.9,Medium,3,32.0,Yes,Career Growth,2007-06-09
EMP0026,Employee_26,Customer Service,Female,30,High School,Junior,16,346734,1.2,Medium,2,24.0,No,,2008-12-01
EMP0027,Employee_27,HR,Female,56,BSc,Senior,11,197567,2.9,Low,2,26.0,No,,2006-07-15
EMP0028,Employee_28,HR,Male,23,MSc,Mid-Level,0,143628,3.1,High,0,,No,,2018-03-14
EMP0029,Employee_29,HR,Male,47,High School,Mid-Level,11,185371,3.9,Medium,0,8.0,No,,2020-07-12
EMP0030,Employee_30,Finance,Female,58,MSc,Mid-Level,9,495270,4.1,Low,0,36.0,No,,2022-07-04
EMP0031,Employee_31,IT,Male,23,BSc,Junior,5,152811,2.5,,2,24.0,No,,2020-10-21
EMP0032,Employee_32,Customer Service,Male,27,BSc,Mid-Level,6,204117,4.3,Medium,3,27.0,No,,2012-03-15
EMP0033,Employee_33,IT,Male,49,High School,Mid-Level,10,494383,2.0,High,2,11.0,No,,2007-01-10
EMP0034,Employee_34,Finance,Male,30,OND,Mid-Level,15,339009,3.3,Low,2,31.0,Yes,Work-Life Balance,2005-06-09
EMP0035,Employee_35,Network Operations,Male,51,MSc,Senior,6,93780,3.8,Medium,0,40.0,Yes,Personal,2008-02-11
EMP0036,Employee_36,MARKETING,Male,33,HND,Mid-Level,7,269213,1.8,Low,1,34.0,No,,2010-07-06
EMP0037,Employee_37,Marketing,Female,25,MSc,Junior,4,370466,2.8,,0,11.0,Yes,Career Growth,2007-09-03
EMP0038,Employee_38,Sales,Female,38,BSc,Senior,4,380038,2.7,Medium,1,35.0,No,,2015-10-20
EMP0039,Employee_39,Marketing,Female,46,BSc,Mid-Level,2,273415,2.7,Medium,3,10.0,Yes,Work-Life Balance,2020-12-01
EMP0040,Employee_40,Marketing,Male,42,High School,Mid-Level,9,325055,1.8,,3,31.0,No,,2018-11-06
EMP0041,Employee_41,Customer Service,female,35,OND,Senior,3,501350,3.0,High,4,18.0,No,,2018-03-02
EMP0042,Employee_42,HR,Male,51,HND,Mid-Level,16,369221,3.4,Low,4,8.0,Yes,Career Growth,2008-06-07
EMP0043,Employee_43,IT,Male,42,MSc,Junior,17,148037,2.9,Medium,4,11.0,Yes,Personal,2011-07-23
EMP0044,Employee_44,Network Operations,Female,43,OND,Junior,16,400837,4.4,Low,3,20.0,Yes,Low Salary,2022-12-24
EMP0045,Employee_45,Network Operations,Male,46,HND,Mid-Level,1,543599,,Medium,0,28.0,Yes,Relocation,2022-05-22
EMP0046,Employee_46,,Female,39,BSc,Junior,10,125201,3.8,Low,0,39.0,No,,2014-05-08
EMP0047,Employee_47,Customer Service,Female,48,BSc,Senior,4,114470,3.1,Medium,0,3.0,No,,2008-01-13
EMP0048,Employee_48,Marketing,Female,38,High School,Mid-Level,12,8000,,High,2,22.0,No,,2023-09-27
EMP0049,Employee_49,Network Operations,Female,27,High School,Senior,4,288750,5.0,Low,4,0.0,No,,2020-03-02
EMP0050,Employee_50,Sales,Female,52,MSc,Junior,5,455879,2.9,Medium,0,31.0,Yes,Career Growth,2016-01-14
